model_name,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1
image,0.44511111111111107,0.029078434192662463,0.43559717337536685,0.030329298127291703
text,0.6583492063492062,0.008841830864762567,0.6447248569674273,0.013649348790960752
late,0.6529603174603175,0.03151489867504513,0.648351022728262,0.02790486543845197
prior,0.659218253968254,0.027337357749932543,0.6496427420081924,0.029041978090842715
cpgmf_gate,0.648515873015873,0.024998631229851107,0.637693412154345,0.020597722894213594
cpgmf_film,0.6565436507936508,0.013549657651548795,0.6445244022046063,0.016354117568796987
